source_domain_idx,source_domain_name,k,tgt_domains,tgt_domain_names,distance
all,Unknown-all,4,"[42, 20, 12, 0]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-0']",0.38778141140937805
all,Unknown-all,4,"[42, 20, 12, 1]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-1']",0.3803619146347046
all,Unknown-all,4,"[42, 20, 12, 2]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-2']",0.38484078645706177
all,Unknown-all,4,"[42, 20, 12, 3]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-3']",0.38347214460372925
all,Unknown-all,4,"[42, 20, 12, 4]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-4']",0.3839162588119507
all,Unknown-all,4,"[42, 20, 12, 5]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-5']",0.38705411553382874
all,Unknown-all,4,"[42, 20, 12, 6]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-6']",0.38169288635253906
all,Unknown-all,4,"[42, 20, 12, 7]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-7']",0.3857511579990387
all,Unknown-all,4,"[42, 20, 12, 8]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-8']",0.3779771327972412
all,Unknown-all,4,"[42, 20, 12, 9]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-9']",0.3888741731643677
all,Unknown-all,4,"[42, 20, 12, 10]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-10']",0.3855040371417999
all,Unknown-all,4,"[42, 20, 12, 11]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-11']",0.3770259916782379
all,Unknown-all,4,"[42, 20, 12, 13]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-13']",0.38772860169410706
all,Unknown-all,4,"[42, 20, 12, 14]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-14']",0.3768429458141327
all,Unknown-all,4,"[42, 20, 12, 15]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-15']",0.383297860622406
all,Unknown-all,4,"[42, 20, 12, 16]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-16']",0.3789101243019104
all,Unknown-all,4,"[42, 20, 12, 17]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-17']",0.39047563076019287
all,Unknown-all,4,"[42, 20, 12, 18]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-18']",0.3807300329208374
all,Unknown-all,4,"[42, 20, 12, 19]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-19']",0.389584481716156
all,Unknown-all,4,"[42, 20, 12, 21]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-21']",0.38124266266822815
all,Unknown-all,4,"[42, 20, 12, 22]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-22']",0.38265424966812134
all,Unknown-all,4,"[42, 20, 12, 23]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-23']",0.3836400508880615
all,Unknown-all,4,"[42, 20, 12, 24]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-24']",0.37997347116470337
all,Unknown-all,4,"[42, 20, 12, 25]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-25']",0.3805471658706665
all,Unknown-all,4,"[42, 20, 12, 26]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-26']",0.3794555068016052
all,Unknown-all,4,"[42, 20, 12, 27]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-27']",0.378939151763916
all,Unknown-all,4,"[42, 20, 12, 28]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-28']",0.3777502179145813
all,Unknown-all,4,"[42, 20, 12, 29]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-29']",0.3814035952091217
all,Unknown-all,4,"[42, 20, 12, 30]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-30']",0.3808474838733673
all,Unknown-all,4,"[42, 20, 12, 31]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-31']",0.3781965672969818
all,Unknown-all,4,"[42, 20, 12, 32]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-32']",0.38130050897598267
all,Unknown-all,4,"[42, 20, 12, 33]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-33']",0.3807124197483063
all,Unknown-all,4,"[42, 20, 12, 34]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-34']",0.38392531871795654
all,Unknown-all,4,"[42, 20, 12, 35]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-35']",0.38581037521362305
all,Unknown-all,4,"[42, 20, 12, 36]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-36']",0.3874562978744507
all,Unknown-all,4,"[42, 20, 12, 37]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-37']",0.3871755599975586
all,Unknown-all,4,"[42, 20, 12, 38]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-38']",0.3837454319000244
all,Unknown-all,4,"[42, 20, 12, 39]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-39']",0.3752341866493225
all,Unknown-all,4,"[42, 20, 12, 40]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-40']",0.3821074962615967
all,Unknown-all,4,"[42, 20, 12, 41]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-41']",0.3789716958999634
all,Unknown-all,4,"[42, 20, 12, 43]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-43']",0.3795582056045532
all,Unknown-all,4,"[42, 20, 12, 44]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-44']",0.3833470046520233
all,Unknown-all,4,"[42, 20, 12, 45]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-45']",0.38119810819625854
all,Unknown-all,4,"[42, 20, 12, 46]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-46']",0.38626372814178467
all,Unknown-all,4,"[42, 20, 12, 47]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-47']",0.38049548864364624
all,Unknown-all,4,"[42, 20, 12, 48]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-48']",0.3826742172241211
all,Unknown-all,4,"[42, 20, 12, 49]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-49']",0.38202857971191406
all,Unknown-all,4,"[42, 20, 12, 50]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-50']",0.37678393721580505
all,Unknown-all,4,"[42, 20, 12, 51]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-51']",0.38477644324302673
all,Unknown-all,4,"[42, 20, 12, 52]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-52']",0.38397884368896484
all,Unknown-all,4,"[42, 20, 12, 53]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-53']",0.3832802474498749
all,Unknown-all,4,"[42, 20, 12, 54]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-54']",0.3812633752822876
all,Unknown-all,4,"[42, 20, 12, 55]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-55']",0.38064172863960266
all,Unknown-all,4,"[42, 20, 12, 56]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-56']",0.3806968927383423
all,Unknown-all,4,"[42, 20, 12, 57]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-57']",0.38198649883270264
all,Unknown-all,4,"[42, 20, 12, 58]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-58']",0.37948596477508545
all,Unknown-all,4,"[42, 20, 12, 59]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-59']",0.3761346936225891
all,Unknown-all,4,"[42, 20, 12, 60]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-60']",0.3762367367744446
all,Unknown-all,4,"[42, 20, 12, 61]","['Unknown-42', 'Unknown-20', 'Unknown-12', 'Unknown-61']",0.3786364197731018
