source_domain_idx,source_domain_name,k,tgt_domains,tgt_domain_names,distance
all,Unknown-all,3,"[56, 42, 0]","['Unknown-56', 'Unknown-42', 'Unknown-0']",0.17258068919181824
all,Unknown-all,3,"[56, 42, 1]","['Unknown-56', 'Unknown-42', 'Unknown-1']",0.17564789950847626
all,Unknown-all,3,"[56, 42, 2]","['Unknown-56', 'Unknown-42', 'Unknown-2']",0.18264895677566528
all,Unknown-all,3,"[56, 42, 3]","['Unknown-56', 'Unknown-42', 'Unknown-3']",0.18095186352729797
all,Unknown-all,3,"[56, 42, 4]","['Unknown-56', 'Unknown-42', 'Unknown-4']",0.17940717935562134
all,Unknown-all,3,"[56, 42, 5]","['Unknown-56', 'Unknown-42', 'Unknown-5']",0.17876479029655457
all,Unknown-all,3,"[56, 42, 6]","['Unknown-56', 'Unknown-42', 'Unknown-6']",0.1729171723127365
all,Unknown-all,3,"[56, 42, 7]","['Unknown-56', 'Unknown-42', 'Unknown-7']",0.17637844383716583
all,Unknown-all,3,"[56, 42, 8]","['Unknown-56', 'Unknown-42', 'Unknown-8']",0.17119185626506805
all,Unknown-all,3,"[56, 42, 9]","['Unknown-56', 'Unknown-42', 'Unknown-9']",0.17622148990631104
all,Unknown-all,3,"[56, 42, 10]","['Unknown-56', 'Unknown-42', 'Unknown-10']",0.17929723858833313
all,Unknown-all,3,"[56, 42, 11]","['Unknown-56', 'Unknown-42', 'Unknown-11']",0.18133355677127838
all,Unknown-all,3,"[56, 42, 12]","['Unknown-56', 'Unknown-42', 'Unknown-12']",0.1744043529033661
all,Unknown-all,3,"[56, 42, 13]","['Unknown-56', 'Unknown-42', 'Unknown-13']",0.17905941605567932
all,Unknown-all,3,"[56, 42, 14]","['Unknown-56', 'Unknown-42', 'Unknown-14']",0.18178898096084595
all,Unknown-all,3,"[56, 42, 15]","['Unknown-56', 'Unknown-42', 'Unknown-15']",0.18170733749866486
all,Unknown-all,3,"[56, 42, 16]","['Unknown-56', 'Unknown-42', 'Unknown-16']",0.1827705204486847
all,Unknown-all,3,"[56, 42, 17]","['Unknown-56', 'Unknown-42', 'Unknown-17']",0.18826940655708313
all,Unknown-all,3,"[56, 42, 18]","['Unknown-56', 'Unknown-42', 'Unknown-18']",0.18032294511795044
all,Unknown-all,3,"[56, 42, 19]","['Unknown-56', 'Unknown-42', 'Unknown-19']",0.17692691087722778
all,Unknown-all,3,"[56, 42, 20]","['Unknown-56', 'Unknown-42', 'Unknown-20']",0.1710004210472107
all,Unknown-all,3,"[56, 42, 21]","['Unknown-56', 'Unknown-42', 'Unknown-21']",0.18049973249435425
all,Unknown-all,3,"[56, 42, 22]","['Unknown-56', 'Unknown-42', 'Unknown-22']",0.1762266904115677
all,Unknown-all,3,"[56, 42, 23]","['Unknown-56', 'Unknown-42', 'Unknown-23']",0.1804167777299881
all,Unknown-all,3,"[56, 42, 24]","['Unknown-56', 'Unknown-42', 'Unknown-24']",0.17674419283866882
all,Unknown-all,3,"[56, 42, 25]","['Unknown-56', 'Unknown-42', 'Unknown-25']",0.1746187061071396
all,Unknown-all,3,"[56, 42, 26]","['Unknown-56', 'Unknown-42', 'Unknown-26']",0.18817715346813202
all,Unknown-all,3,"[56, 42, 27]","['Unknown-56', 'Unknown-42', 'Unknown-27']",0.17501814663410187
all,Unknown-all,3,"[56, 42, 28]","['Unknown-56', 'Unknown-42', 'Unknown-28']",0.1785443127155304
all,Unknown-all,3,"[56, 42, 29]","['Unknown-56', 'Unknown-42', 'Unknown-29']",0.18091391026973724
all,Unknown-all,3,"[56, 42, 30]","['Unknown-56', 'Unknown-42', 'Unknown-30']",0.18040333688259125
all,Unknown-all,3,"[56, 42, 31]","['Unknown-56', 'Unknown-42', 'Unknown-31']",0.18434399366378784
all,Unknown-all,3,"[56, 42, 32]","['Unknown-56', 'Unknown-42', 'Unknown-32']",0.17542266845703125
all,Unknown-all,3,"[56, 42, 33]","['Unknown-56', 'Unknown-42', 'Unknown-33']",0.17685122787952423
all,Unknown-all,3,"[56, 42, 34]","['Unknown-56', 'Unknown-42', 'Unknown-34']",0.17938271164894104
all,Unknown-all,3,"[56, 42, 35]","['Unknown-56', 'Unknown-42', 'Unknown-35']",0.18018876016139984
all,Unknown-all,3,"[56, 42, 36]","['Unknown-56', 'Unknown-42', 'Unknown-36']",0.17793205380439758
all,Unknown-all,3,"[56, 42, 37]","['Unknown-56', 'Unknown-42', 'Unknown-37']",0.17471471428871155
all,Unknown-all,3,"[56, 42, 38]","['Unknown-56', 'Unknown-42', 'Unknown-38']",0.1785288155078888
all,Unknown-all,3,"[56, 42, 39]","['Unknown-56', 'Unknown-42', 'Unknown-39']",0.17798978090286255
all,Unknown-all,3,"[56, 42, 40]","['Unknown-56', 'Unknown-42', 'Unknown-40']",0.17982438206672668
all,Unknown-all,3,"[56, 42, 41]","['Unknown-56', 'Unknown-42', 'Unknown-41']",0.17973563075065613
all,Unknown-all,3,"[56, 42, 43]","['Unknown-56', 'Unknown-42', 'Unknown-43']",0.1853836178779602
all,Unknown-all,3,"[56, 42, 44]","['Unknown-56', 'Unknown-42', 'Unknown-44']",0.17763853073120117
all,Unknown-all,3,"[56, 42, 45]","['Unknown-56', 'Unknown-42', 'Unknown-45']",0.1721819043159485
all,Unknown-all,3,"[56, 42, 46]","['Unknown-56', 'Unknown-42', 'Unknown-46']",0.1783054918050766
all,Unknown-all,3,"[56, 42, 47]","['Unknown-56', 'Unknown-42', 'Unknown-47']",0.17785996198654175
all,Unknown-all,3,"[56, 42, 48]","['Unknown-56', 'Unknown-42', 'Unknown-48']",0.17635391652584076
all,Unknown-all,3,"[56, 42, 49]","['Unknown-56', 'Unknown-42', 'Unknown-49']",0.17218634486198425
all,Unknown-all,3,"[56, 42, 50]","['Unknown-56', 'Unknown-42', 'Unknown-50']",0.17909954488277435
all,Unknown-all,3,"[56, 42, 51]","['Unknown-56', 'Unknown-42', 'Unknown-51']",0.17223677039146423
all,Unknown-all,3,"[56, 42, 52]","['Unknown-56', 'Unknown-42', 'Unknown-52']",0.1744479238986969
all,Unknown-all,3,"[56, 42, 53]","['Unknown-56', 'Unknown-42', 'Unknown-53']",0.1830805242061615
all,Unknown-all,3,"[56, 42, 54]","['Unknown-56', 'Unknown-42', 'Unknown-54']",0.17740985751152039
all,Unknown-all,3,"[56, 42, 55]","['Unknown-56', 'Unknown-42', 'Unknown-55']",0.17716023325920105
all,Unknown-all,3,"[56, 42, 57]","['Unknown-56', 'Unknown-42', 'Unknown-57']",0.17866000533103943
all,Unknown-all,3,"[56, 42, 58]","['Unknown-56', 'Unknown-42', 'Unknown-58']",0.17697682976722717
all,Unknown-all,3,"[56, 42, 59]","['Unknown-56', 'Unknown-42', 'Unknown-59']",0.18331503868103027
all,Unknown-all,3,"[56, 42, 60]","['Unknown-56', 'Unknown-42', 'Unknown-60']",0.17877590656280518
all,Unknown-all,3,"[56, 42, 61]","['Unknown-56', 'Unknown-42', 'Unknown-61']",0.1785649061203003
