source_domain_idx,source_domain_name,k,tgt_domains,tgt_domain_names,distance
all,Unknown-all,5,"[57, 42, 8, 1, 0]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-0']",0.2549614906311035
all,Unknown-all,5,"[57, 42, 8, 1, 2]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-2']",0.2571580410003662
all,Unknown-all,5,"[57, 42, 8, 1, 3]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-3']",0.2672268748283386
all,Unknown-all,5,"[57, 42, 8, 1, 4]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-4']",0.2493826150894165
all,Unknown-all,5,"[57, 42, 8, 1, 5]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-5']",0.26173001527786255
all,Unknown-all,5,"[57, 42, 8, 1, 6]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-6']",0.24918538331985474
all,Unknown-all,5,"[57, 42, 8, 1, 7]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-7']",0.24548771977424622
all,Unknown-all,5,"[57, 42, 8, 1, 9]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-9']",0.2501346468925476
all,Unknown-all,5,"[57, 42, 8, 1, 10]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-10']",0.25105205178260803
all,Unknown-all,5,"[57, 42, 8, 1, 11]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-11']",0.2445523589849472
all,Unknown-all,5,"[57, 42, 8, 1, 12]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-12']",0.24265961349010468
all,Unknown-all,5,"[57, 42, 8, 1, 13]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-13']",0.25175535678863525
all,Unknown-all,5,"[57, 42, 8, 1, 14]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-14']",0.24698834121227264
all,Unknown-all,5,"[57, 42, 8, 1, 15]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-15']",0.2547808289527893
all,Unknown-all,5,"[57, 42, 8, 1, 16]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-16']",0.25354820489883423
all,Unknown-all,5,"[57, 42, 8, 1, 17]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-17']",0.2564944326877594
all,Unknown-all,5,"[57, 42, 8, 1, 18]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-18']",0.25271958112716675
all,Unknown-all,5,"[57, 42, 8, 1, 19]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-19']",0.2531968951225281
all,Unknown-all,5,"[57, 42, 8, 1, 20]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-20']",0.24219661951065063
all,Unknown-all,5,"[57, 42, 8, 1, 21]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-21']",0.247262105345726
all,Unknown-all,5,"[57, 42, 8, 1, 22]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-22']",0.252485454082489
all,Unknown-all,5,"[57, 42, 8, 1, 23]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-23']",0.2518976032733917
all,Unknown-all,5,"[57, 42, 8, 1, 24]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-24']",0.24850201606750488
all,Unknown-all,5,"[57, 42, 8, 1, 25]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-25']",0.25492584705352783
all,Unknown-all,5,"[57, 42, 8, 1, 26]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-26']",0.26124969124794006
all,Unknown-all,5,"[57, 42, 8, 1, 27]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-27']",0.24249383807182312
all,Unknown-all,5,"[57, 42, 8, 1, 28]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-28']",0.2513236999511719
all,Unknown-all,5,"[57, 42, 8, 1, 29]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-29']",0.25231629610061646
all,Unknown-all,5,"[57, 42, 8, 1, 30]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-30']",0.2580570578575134
all,Unknown-all,5,"[57, 42, 8, 1, 31]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-31']",0.2507990598678589
all,Unknown-all,5,"[57, 42, 8, 1, 32]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-32']",0.24660423398017883
all,Unknown-all,5,"[57, 42, 8, 1, 33]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-33']",0.2524465322494507
all,Unknown-all,5,"[57, 42, 8, 1, 34]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-34']",0.24476872384548187
all,Unknown-all,5,"[57, 42, 8, 1, 35]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-35']",0.2545834183692932
all,Unknown-all,5,"[57, 42, 8, 1, 36]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-36']",0.25066378712654114
all,Unknown-all,5,"[57, 42, 8, 1, 37]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-37']",0.25335124135017395
all,Unknown-all,5,"[57, 42, 8, 1, 38]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-38']",0.2560170292854309
all,Unknown-all,5,"[57, 42, 8, 1, 39]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-39']",0.23712117969989777
all,Unknown-all,5,"[57, 42, 8, 1, 40]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-40']",0.2526370882987976
all,Unknown-all,5,"[57, 42, 8, 1, 41]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-41']",0.2439807653427124
all,Unknown-all,5,"[57, 42, 8, 1, 43]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-43']",0.2512412965297699
all,Unknown-all,5,"[57, 42, 8, 1, 44]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-44']",0.2502194046974182
all,Unknown-all,5,"[57, 42, 8, 1, 45]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-45']",0.2510310113430023
all,Unknown-all,5,"[57, 42, 8, 1, 46]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-46']",0.2513575553894043
all,Unknown-all,5,"[57, 42, 8, 1, 47]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-47']",0.25007086992263794
all,Unknown-all,5,"[57, 42, 8, 1, 48]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-48']",0.25159868597984314
all,Unknown-all,5,"[57, 42, 8, 1, 49]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-49']",0.24876070022583008
all,Unknown-all,5,"[57, 42, 8, 1, 50]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-50']",0.2456253468990326
all,Unknown-all,5,"[57, 42, 8, 1, 51]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-51']",0.24895985424518585
all,Unknown-all,5,"[57, 42, 8, 1, 52]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-52']",0.2527841329574585
all,Unknown-all,5,"[57, 42, 8, 1, 53]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-53']",0.25446534156799316
all,Unknown-all,5,"[57, 42, 8, 1, 54]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-54']",0.2517750561237335
all,Unknown-all,5,"[57, 42, 8, 1, 55]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-55']",0.24483031034469604
all,Unknown-all,5,"[57, 42, 8, 1, 56]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-56']",0.2503785192966461
all,Unknown-all,5,"[57, 42, 8, 1, 58]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-58']",0.24539384245872498
all,Unknown-all,5,"[57, 42, 8, 1, 59]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-59']",0.24404603242874146
all,Unknown-all,5,"[57, 42, 8, 1, 60]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-60']",0.2466113269329071
all,Unknown-all,5,"[57, 42, 8, 1, 61]","['Unknown-57', 'Unknown-42', 'Unknown-8', 'Unknown-1', 'Unknown-61']",0.24212148785591125
