source_domain_idx,source_domain_name,k,tgt_domains,tgt_domain_names,distance
all,Unknown-all,2,"[57, 0]","['Unknown-57', 'Unknown-0']",0.3383345901966095
all,Unknown-all,2,"[57, 1]","['Unknown-57', 'Unknown-1']",0.30917274951934814
all,Unknown-all,2,"[57, 2]","['Unknown-57', 'Unknown-2']",0.3752177357673645
all,Unknown-all,2,"[57, 3]","['Unknown-57', 'Unknown-3']",0.3407195210456848
all,Unknown-all,2,"[57, 4]","['Unknown-57', 'Unknown-4']",0.33140313625335693
all,Unknown-all,2,"[57, 5]","['Unknown-57', 'Unknown-5']",0.35433825850486755
all,Unknown-all,2,"[57, 6]","['Unknown-57', 'Unknown-6']",0.3167058527469635
all,Unknown-all,2,"[57, 7]","['Unknown-57', 'Unknown-7']",0.3207409381866455
all,Unknown-all,2,"[57, 8]","['Unknown-57', 'Unknown-8']",0.3154734969139099
all,Unknown-all,2,"[57, 9]","['Unknown-57', 'Unknown-9']",0.33600732684135437
all,Unknown-all,2,"[57, 10]","['Unknown-57', 'Unknown-10']",0.32553836703300476
all,Unknown-all,2,"[57, 11]","['Unknown-57', 'Unknown-11']",0.30500340461730957
all,Unknown-all,2,"[57, 12]","['Unknown-57', 'Unknown-12']",0.3134228587150574
all,Unknown-all,2,"[57, 13]","['Unknown-57', 'Unknown-13']",0.3420671224594116
all,Unknown-all,2,"[57, 14]","['Unknown-57', 'Unknown-14']",0.3349352478981018
all,Unknown-all,2,"[57, 15]","['Unknown-57', 'Unknown-15']",0.33729714155197144
all,Unknown-all,2,"[57, 16]","['Unknown-57', 'Unknown-16']",0.3309912085533142
all,Unknown-all,2,"[57, 17]","['Unknown-57', 'Unknown-17']",0.3417936861515045
all,Unknown-all,2,"[57, 18]","['Unknown-57', 'Unknown-18']",0.341433048248291
all,Unknown-all,2,"[57, 19]","['Unknown-57', 'Unknown-19']",0.33565986156463623
all,Unknown-all,2,"[57, 20]","['Unknown-57', 'Unknown-20']",0.3062223494052887
all,Unknown-all,2,"[57, 21]","['Unknown-57', 'Unknown-21']",0.3203008770942688
all,Unknown-all,2,"[57, 22]","['Unknown-57', 'Unknown-22']",0.3512648344039917
all,Unknown-all,2,"[57, 23]","['Unknown-57', 'Unknown-23']",0.3419446349143982
all,Unknown-all,2,"[57, 24]","['Unknown-57', 'Unknown-24']",0.3366115689277649
all,Unknown-all,2,"[57, 25]","['Unknown-57', 'Unknown-25']",0.3210856020450592
all,Unknown-all,2,"[57, 26]","['Unknown-57', 'Unknown-26']",0.344154417514801
all,Unknown-all,2,"[57, 27]","['Unknown-57', 'Unknown-27']",0.3250316381454468
all,Unknown-all,2,"[57, 28]","['Unknown-57', 'Unknown-28']",0.31700676679611206
all,Unknown-all,2,"[57, 29]","['Unknown-57', 'Unknown-29']",0.3260897397994995
all,Unknown-all,2,"[57, 30]","['Unknown-57', 'Unknown-30']",0.3264978528022766
